admin1_name,year,cohort_admin1_year,n
Dodoma,2022,TZ-03_fune_2022,28
Kagera,2022,TZ-05_fune_2022,32
Katavi,2022,TZ-28_fune_2022,33
Kigoma,2019,TZ-08_fune_2019,1
Lindi,2022,TZ-12_fune_2022,30
Morogoro,2019,TZ-16_fune_2019,18
Morogoro,2021,TZ-16_fune_2021,9
Morogoro,2023,TZ-16_fune_2023,27
Mtwara,2022,TZ-17_fune_2022,31
Mwanza,2023,TZ-18_fune_2023,28
Pwani,2019,TZ-19_fune_2019,10
Pwani,2022,TZ-19_fune_2022,2
Ruvuma,2019,TZ-21_fune_2019,9
Ruvuma,2022,TZ-21_fune_2022,28
Tanga,2019,TZ-25_fune_2019,1
Tanga,2022,TZ-25_fune_2022,32
